ARBITRAGE_QUANTITY,DEFAULT_SPREAD_MEAN,KELP_BETA,KELP_MM_EDGE,KELP_TAKE_WIDTH,LATE_DAY_SIZE_FACTOR,LATE_DAY_SPREAD_FACTOR,LATE_DAY_TIMESTAMP,RESIN_MM_EDGE,RESIN_TAKE_WIDTH,ROLLING_WINDOW,SQUID_BETA,SQUID_LONG_EMA_WINDOW,SQUID_MM_EDGE,SQUID_MOMENTUM_THRESHOLD,SQUID_SHORT_EMA_WINDOW,SQUID_TAKE_WIDTH,SQUID_TREND_BIAS,SQUID_TREND_THRESHOLD,SQUID_VOL_THRESHOLD,ZSCORE_THRESHOLD,profit
8,28,0.5426960831582485,0.711386337462144,4.208787923016159,0.5372753218398854,2.480330404900776,877224,1.3974313630683448,5.055221171236024,83,0.7068573438476171,42,7.941433120173512,5.740446517340904,6,2.0428215357261674,1.3631034258755936,3.304841570724011,13,3.4449084520021653,34066
7,33,0.7296061783380641,1.4563362070328196,4.548850970305306,0.7361074625809747,1.1793913689074524,871324,2.521570097233795,10.612771975694962,79,0.49379559636439074,36,4.847869165226946,5.254191267440952,4,1.2828626711806081,1.1364104112637805,1.91460191484347,18,9.352965317482651,39032
8,1,0.7606090453790295,1.0702378922188984,4.9539018656559035,0.6479966477647863,2.4683220411420086,897340,1.6920198591865225,14.03932409525676,13,0.06700021697669245,41,6.693063667668774,6.350022463139966,4,4.273896819458342,0.6667933791223093,2.251895141931289,6,7.605085528180712,40182
8,95,0.7319939418114051,1.397987726295555,1.624074561769746,0.5779972601681014,1.0871254182522991,886618,2.2022300234864174,12.080725777960454,12,0.9699098521619943,45,2.9110519961044856,6.818249672071007,4,3.7381801866358395,1.024756431632238,2.4437525838895207,12,7.282970263056656,-1174
4,29,0.3663618432936917,1.1841049763255538,4.140703845572054,0.5998368910791798,1.7713516576204174,859241,1.0929008254399954,11.075448519014383,25,0.06505159298527952,48,9.690688297671034,13.08397348116461,5,1.8790490260574548,1.1842330265121568,2.480686221828206,8,6.466238370778891,-13560
2,91,0.2587799816000169,1.4937834265309728,2.246844304357644,0.7600340105889054,1.8200654190149195,818485,2.939169255529117,12.751328233611146,95,0.8948273504276488,38,9.296868115208051,5.884925020519195,4,1.4070456001948426,0.8253303307632643,2.249047803602669,12,8.801162564063505,-7230
8,28,0.5426960831582485,0.711386337462144,4.208787923016159,0.5372753218398854,2.480330404900776,877224,1.3974313630683448,5.055221171236024,83,0.7068573438476171,42,7.941433120173512,5.740446517340904,6,2.0428215357261674,1.3631034258755936,3.304841570724011,13,3.4449084520021653,-25195
7,33,0.7296061783380641,1.4563362070328196,4.548850970305306,0.7361074625809747,1.1793913689074524,871324,2.521570097233795,10.612771975694962,79,0.49379559636439074,36,4.847869165226946,5.254191267440952,4,1.2828626711806081,1.1364104112637805,1.91460191484347,18,9.352965317482651,-5418
8,1,0.7606090453790295,1.0702378922188984,4.9539018656559035,0.6479966477647863,2.4683220411420086,897340,1.6920198591865225,14.03932409525676,13,0.06700021697669245,41,6.693063667668774,6.350022463139966,4,4.273896819458342,0.6667933791223093,2.251895141931289,6,7.605085528180712,-4609
2,36,0.33364429091413106,0.5500979879667083,3.6788720230512544,0.8847941188424446,1.0531144136510213,873560,1.112922158833733,11.012114514773955,39,0.6819212869122727,49,3.6539019825858987,6.808357005659312,7,8.26928753018792,0.5310569587411323,3.363978212613106,21,5.662247114840781,-19397
12,56,0.7249920297620259,1.6630208598131901,1.176061693113597,0.6895218876572674,2.4529190503458267,852630,2.3236800931704655,11.826705295738112,74,0.39405022795790756,21,8.980869048059894,11.388697341872229,5,3.307167195325754,0.6711486626367894,4.578318093647838,23,8.801498323572615,-2546
8,22,0.653251361671332,1.8095526798580657,1.1036504934669251,0.5575309541217612,2.456969720695599,834314,2.2050798494492945,11.167888969176271,71,0.29830515531709867,45,5.083782563848074,8.393005851260643,9,8.535784884445093,1.465701885910176,3.3884897597201142,16,9.920240500418988,-5330
16,35,0.595759743282925,1.5791292341687375,3.262148494362877,0.9615506351006933,2.2163849427197677,836388,2.9171565050685677,6.289455859566917,11,0.8988519674112566,31,7.193470483247591,8.935937822455607,8,7.464441355641448,0.5914254558187843,0.9811903815977998,9,5.872029500552588,-5179
3,6,0.7924981058388613,1.8748956987053067,1.953790803597773,0.5776603381809484,1.6088355134236325,897346,1.373520228343163,10.597620930341186,14,0.10596771070766642,42,1.454103489169098,7.726412434536725,10,3.1195969952843265,0.5673887990512685,1.7106618151784723,12,4.409050729987255,-16538
3,79,0.39910493823678717,0.7144080477785757,1.3099352264428146,0.9559327382034895,1.3955834284842665,802123,1.005008374722572,8.202414788107397,19,0.5906974747757454,25,5.724259919265509,8.816654653319185,4,5.2315165063526265,1.4100404319815933,4.023870787162758,22,5.166513660745341,-19704
9,38,0.2578485783764516,0.5406751966579629,2.6716054312402235,0.7416663209734031,2.121975480403223,807970,2.913159241480478,13.833155630352273,13,0.6494331718938771,32,8.602230467460773,8.218731788726576,5,8.927745456199656,1.4336007081801339,4.328060354003149,18,4.77381402665255,-7218
4,0,0.43853086316600975,0.8663760157181473,2.2906197470000667,0.8675196160716767,2.235886755665984,882460,2.614601653168612,14.390641430881335,45,0.7115158412608006,41,5.687163553381826,12.769052003252444,8,6.958260235932162,1.2976106849973705,2.3305395146508863,23,8.49532849677989,-8690
12,22,0.4083441609432189,1.783349304912246,3.1568694015376524,0.9584981852270833,2.1249719672630514,851173,2.284459417815576,8.921531471761691,83,0.5496703369825524,41,4.576700663820903,7.740461459545196,6,6.315500211359737,1.2781445374348306,1.7630742425918486,15,5.90294420247011,-4497
4,35,0.5065250951049701,0.8377107267199599,1.7317459195752054,0.8227195255989626,1.9859025029171669,807779,2.483309979411332,12.169302791757024,37,0.13153196021699087,35,9.725644133199362,11.616301476513385,8,2.58898817820453,1.284614078347361,3.047568182359142,12,3.350437427469396,-15363
16,40,0.4887260453729736,1.8856937294391896,1.6134610764424897,0.9514384702090253,1.9858412538253867,876803,1.7373157794209515,10.2319932407369,42,0.9045926042389146,21,3.5107825247693185,13.391116568207448,7,3.5740944830521544,1.3431957570529787,2.771162458432687,13,9.114310148325954,-6341
19,21,0.3547338501301319,1.9596338289660893,2.0369000109035214,0.7566556861424831,2.2680282020622844,814213,1.016511549632046,11.359315417469954,83,0.6740617646053539,43,3.9723161060650796,8.443994627572307,9,7.3578416710912045,0.6812557792003479,4.31532628219114,13,3.8524347805404586,-17960
9,60,0.08747948067162614,0.7125979591835897,4.113341491759844,0.8977552719244314,1.0744068850190365,834477,1.523336036149557,8.314757597046277,94,0.6085679389713126,25,7.486982507372225,11.715790620779313,6,4.890501202484565,1.453623251526691,2.7523164089874914,26,4.930990856885156,-4890
8,13,0.5496505726357614,1.0606476199839179,3.23265375794784,0.9048737257407554,1.5488907734843398,889940,1.289868438543387,13.546410248011618,26,0.13855293334099394,21,6.742114861424345,14.176962621396829,5,7.958416585498878,0.9464391397048891,1.2995786744978703,18,3.9372535670855893,-13586
10,95,0.9001974433215746,0.8587041266519663,4.304232312713612,0.7629858129035881,1.456889659088461,861375,1.9748203612377724,8.395624539367947,59,0.7545261838217416,36,3.5035741670888125,13.182842145749325,9,1.3547793005011992,0.978739904825575,1.6972466871468044,9,4.73829676069707,-9340
17,70,0.4235875878601688,0.8670499175629469,3.69178879211405,0.6904444147296824,1.5579280550924888,835924,2.15906998784639,9.707443172912296,13,0.4982983368487969,20,2.8364336298461703,11.221404742155585,6,9.270093251760258,0.9947186350649807,4.129128668646981,30,6.048656977262403,-6814
8,60,0.3005071275350062,0.7935044852477424,3.9666759250880035,0.799248708880878,2.179547066268401,896563,1.5614156408529583,14.297424041177898,89,0.09323420272947724,41,2.0248786252475637,7.028984639447926,9,9.147199860712599,0.851879017200367,3.610168593620234,8,6.031346655044622,-6298
16,44,0.7775323283439827,0.6103371205113096,2.672481648614671,0.6346510552046917,1.693732375446651,853319,2.656438995220438,6.575046694211144,47,0.13410381434917906,26,1.9650946984151396,6.114968835119505,5,5.852350166873808,0.6872223079032336,1.6586549823420491,13,5.312474904480118,-15736
15,54,0.9197949858382537,0.7672596771249369,1.5353424166465452,0.7155622806441755,1.5179545417666196,807546,2.3468887848477804,6.6666139614768705,41,0.18621799881783752,49,6.622766505212428,14.57163198907804,5,6.276433052003698,0.6992066273218025,0.9070672717411106,15,9.34350706318471,-11204
12,20,0.7756256065591589,1.6710469796787595,3.757754791512719,0.6433159756523686,1.5727031858611316,867788,1.8399700409476913,10.53883813271483,62,0.08131785576734052,38,7.08579959272242,12.30162566722055,4,8.389291697586641,1.223154809229829,1.1956940867616184,7,4.130399881076633,-3626
9,39,0.253252843597249,1.8510953000184647,1.4879332285091675,0.57591721941885,1.137311712721663,829031,1.2156782113801219,7.923979735924811,54,0.7746455070078885,33,3.4597382670198815,9.148351394066118,9,1.2083597252205158,0.9654495133574784,2.864088003139519,6,4.790232283838285,-16672
13,90,0.9162551639322842,1.1056095151887215,2.288438282389463,0.8669616503079106,1.3364166567988904,898983,2.3491273696483477,12.134589294523801,34,0.18136783810122548,35,3.8390252457695277,7.793888041440214,8,6.000689012039903,0.8589977633551367,0.8013154534909439,10,3.686731657045928,-816
12,37,0.9603754342723178,0.8125780638357241,1.6819095938062834,0.7636812229910879,1.2217400770163547,846079,1.5350214859657014,11.732910660570827,89,0.4633101564302583,30,7.1904452521447455,12.494379622723187,9,9.963024120691767,0.863476378443825,4.668952243691154,25,7.08307884867556,-10004
9,22,0.8406371158144346,1.1338481552601698,2.199444887131245,0.8461053320732098,1.7510878490484354,892541,2.490851523378576,5.972335898936077,82,0.5366169139527429,34,6.342540995519814,10.559195048097525,8,2.800978893751815,1.4989056490531298,0.5762322490512795,15,4.241844020994041,-1762
